Subj,ShapeNameC,ShapeColorC,Condition,Trial,TrialBin,ResponseTime,bodyShape,Response,Correct,totalCorrect,NoticedColorStr,NoticedColorC
3,-0.5,0.5,3,112,3,501,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,113,3,504,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,114,3,556,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,115,3,717,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,116,3,744,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,117,3,658,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,118,3,735,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,119,3,1176,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,120,3,465,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,121,4,664,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,122,4,390,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,123,4,462,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,124,4,691,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,125,4,527,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,126,4,481,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,127,4,581,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,128,4,470,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,129,4,715,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,130,4,518,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,131,4,585,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,132,4,345,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,133,4,690,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,134,4,510,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,135,4,481,2,2,0,234,noticers,0.5
3,-0.5,0.5,3,136,4,822,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,137,4,508,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,138,4,464,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,139,4,725,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,140,4,623,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,141,4,493,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,142,4,433,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,143,4,887,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,144,4,843,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,145,4,594,1,2,1,234,noticers,0.5
